,ReplayFingerPrint,TeamName,Team,Battletag
6262,36d30ff6-4775-7ac4-948d-9f2169a682d1,30 seconds to mosh,1,5
6279,36f9027f-3aff-c26a-aa63-38b978d391e0,30 seconds to mosh,0,5
6311,3739f5e9-1136-c9ca-19f5-be023b00fbda,ff & the pancakes,1,5
6394,3804a96e-9fb8-ddc1-1f56-21ab27129c5d,infernal misfits,1,5
6541,3925693f-73c3-0cdf-8982-c43e14a3df67,30 seconds to mosh,1,5
6544,392e73b2-66d3-f962-9b19-96b4592b3c95,infernal misfits,1,5
6640,3a25f270-bcc7-1466-2697-052b8a1e8e4d,ff & the pancakes,0,5
6667,3a630505-1cb8-2c64-282d-d1bf0b97c231,infernal misfits,0,5
6763,3b41aa04-39f8-7901-69f2-2dc98727ae96,ff & the pancakes,0,5
6796,3b7d7815-98b5-adf3-f62d-5035272ffe8c,30 seconds to mosh,1,5
6810,3bae64cc-d8e5-1b42-259f-bed8a6441b56,ycmyccastep7:cheeseawakens,0,5
6880,3c5a1290-90d0-594f-691d-4dac903235e1,30 seconds to mosh,1,5
6922,3ca2b687-9bf5-f577-e61a-23b79a38f8de,30 seconds to mosh,1,5
6937,3cd18db0-fbc8-18c0-a9dd-042bd8350e2f,out of pocket,0,5
6957,3cfe5c56-99ac-2868-8e60-6ce59a6804ff,ycmyccastep7:cheeseawakens,0,5
6966,3d15b3da-160f-478c-8543-fdedf8ad7e66,ycmyccastep7:cheeseawakens,0,5
6983,3d3534f5-55f5-c5d8-85e3-d9ba136a5f03,ff & the pancakes,0,5
7191,3f102753-b8f2-9756-3179-48466002d246,ycmyccastep7:cheeseawakens,1,5
7195,3f1cda45-1ca9-0739-54af-b815cd08a3be,out of pocket,0,5
7202,3f2897d4-d2e2-d327-8b77-5fe97b576958,30 seconds to mosh,0,5
7244,3f88d0c0-e8f6-9977-5466-2335a7d138ce,beyonce gnolls,0,5
7319,4039749b-8438-85d5-ed92-7010abf6b0b5,chogall chocolate factory,1,5
7320,4039749b-8438-85d5-ed92-7010abf6b0b5,out of pocket,0,5
7336,40540a84-ba9c-5d2e-25cd-1bfd982a3615,infernal misfits,0,5
7360,4098f407-fab9-9ebf-5f19-c6cd15e82d46,ycmyccastep7:cheeseawakens,1,5
7361,4099392e-1305-ac05-814e-6263dc7c20c2,30 seconds to mosh,1,5
7375,40c2fd1f-b2dd-c727-fa41-78a322cd76f5,ff & the pancakes,0,5
7401,4117ffb6-a63d-38fd-8746-72438577eb34,ff & the pancakes,0,5
7458,416be9f1-c217-f7d2-f4a2-777d54b67467,30 seconds to mosh,0,5
7511,41ec2d08-44c7-1100-256a-9f95d1611e05,bunker fun time academy,1,5
7526,420e3950-5eb3-7795-a39e-68d9804738fe,chogall chocolate factory,0,5
7530,42202ec2-826f-d39e-bff6-3c572fe5774b,ff & the pancakes,1,5
7569,426c2b99-8150-27df-49c7-b5eecb2ead49,ff & the pancakes,1,5
7627,431bc565-bcc5-e501-dd1a-c1c15b30193e,30 seconds to mosh,0,5
7628,431bc565-bcc5-e501-dd1a-c1c15b30193e,ltk - we hate obj,1,5
7677,4396f733-16d5-dcfd-22d0-4f33528dd1b6,ycmyccastep7:cheeseawakens,1,5
7682,43a2ba7f-a529-223b-f2fb-9ae2191ac742,ff & the pancakes,0,5
7726,43fc0448-6949-f71d-caa9-a0a775faf75c,infernal misfits,1,5
7771,445b5aca-9150-44ef-e5dc-1206624d2d99,out of pocket,1,5
7777,4467c8ad-3cbf-0a42-6f37-5e216e3e6dee,30 seconds to mosh,1,5
7783,4483e158-77dc-f2e3-47ec-5f65b09d7444,ycmyccastep7:cheeseawakens,0,5
7807,44c10495-416e-9dab-17f0-f2ce4f196479,ff & the pancakes,1,5
7820,44db482a-e49e-2025-426b-3bdbe75dbc94,ff & the pancakes,1,5
