TeamName,HeroName,NewRole,Games,Wins,WinRate
souls in slowmo,Xul,Bruiser,1,0,0.0
souls in slowmo,Zagara,Ranged Assassin,1,0,0.0
souls in slowmo,Zarya,Support,1,0,0.0
souls in slowmo,Zeratul,Melee Assassin,1,0,0.0
souls in slowmo,Zul'jin,Ranged Assassin,1,0,0.0
ycmyccastep7:cheeseawakens,Alarak,Melee Assassin,2,1,0.5
ycmyccastep7:cheeseawakens,Alexstrasza,Healer,10,4,0.4
ycmyccastep7:cheeseawakens,Ana,Healer,6,0,0.0
ycmyccastep7:cheeseawakens,Anduin,Healer,13,7,0.54
ycmyccastep7:cheeseawakens,Anub'arak,Tank,14,5,0.36
ycmyccastep7:cheeseawakens,Arthas,Tank,8,5,0.62
ycmyccastep7:cheeseawakens,Auriel,Healer,3,2,0.67
ycmyccastep7:cheeseawakens,Azmodan,Ranged Assassin,7,3,0.43
ycmyccastep7:cheeseawakens,Blaze,Tank,26,15,0.58
ycmyccastep7:cheeseawakens,Brightwing,Healer,32,16,0.5
ycmyccastep7:cheeseawakens,Cassia,Ranged Assassin,2,2,1.0
ycmyccastep7:cheeseawakens,Cho,Tank,1,1,1.0
ycmyccastep7:cheeseawakens,Chromie,Ranged Assassin,9,4,0.44
ycmyccastep7:cheeseawakens,D.Va,Bruiser,10,9,0.9
ycmyccastep7:cheeseawakens,Deckard,Healer,9,4,0.44
ycmyccastep7:cheeseawakens,Diablo,Tank,4,2,0.5
ycmyccastep7:cheeseawakens,E.T.C.,Tank,2,2,1.0
ycmyccastep7:cheeseawakens,Fenix,Ranged Assassin,9,5,0.56
ycmyccastep7:cheeseawakens,Gall,Ranged Assassin,1,1,1.0
ycmyccastep7:cheeseawakens,Garrosh,Tank,1,0,0.0
ycmyccastep7:cheeseawakens,Gazlowe,Bruiser,1,1,1.0
ycmyccastep7:cheeseawakens,Gul'dan,Ranged Assassin,8,4,0.5
ycmyccastep7:cheeseawakens,Imperius,Bruiser,1,0,0.0
ycmyccastep7:cheeseawakens,Jaina,Ranged Assassin,2,0,0.0
ycmyccastep7:cheeseawakens,Johanna,Tank,14,6,0.43
ycmyccastep7:cheeseawakens,Junkrat,Ranged Assassin,32,12,0.38
ycmyccastep7:cheeseawakens,Kael'thas,Ranged Assassin,6,3,0.5
ycmyccastep7:cheeseawakens,Kel'Thuzad,Ranged Assassin,25,12,0.48
ycmyccastep7:cheeseawakens,Kharazim,Healer,6,4,0.67
ycmyccastep7:cheeseawakens,Li Li,Healer,7,4,0.57
ycmyccastep7:cheeseawakens,Li-Ming,Ranged Assassin,21,10,0.48
ycmyccastep7:cheeseawakens,Lt. Morales,Healer,6,3,0.5
ycmyccastep7:cheeseawakens,Lunara,Ranged Assassin,4,0,0.0
ycmyccastep7:cheeseawakens,Lúcio,Healer,23,9,0.39
ycmyccastep7:cheeseawakens,Maiev,Melee Assassin,3,2,0.67
ycmyccastep7:cheeseawakens,Mal'Ganis,Tank,2,1,0.5
ycmyccastep7:cheeseawakens,Malfurion,Healer,10,6,0.6
ycmyccastep7:cheeseawakens,Malthael,Bruiser,5,2,0.4
ycmyccastep7:cheeseawakens,Mei,Tank,26,12,0.46
ycmyccastep7:cheeseawakens,Mephisto,Ranged Assassin,6,1,0.17
ycmyccastep7:cheeseawakens,Muradin,Tank,12,4,0.33
ycmyccastep7:cheeseawakens,Nazeebo,Ranged Assassin,6,1,0.17
ycmyccastep7:cheeseawakens,Nova,Ranged Assassin,2,1,0.5
ycmyccastep7:cheeseawakens,Orphea,Ranged Assassin,24,11,0.46
ycmyccastep7:cheeseawakens,Probius,Ranged Assassin,8,6,0.75
ycmyccastep7:cheeseawakens,Qhira,Melee Assassin,6,3,0.5
ycmyccastep7:cheeseawakens,Ragnaros,Bruiser,2,0,0.0
ycmyccastep7:cheeseawakens,Raynor,Ranged Assassin,30,13,0.43
ycmyccastep7:cheeseawakens,Rehgar,Healer,9,2,0.22
ycmyccastep7:cheeseawakens,Samuro,Melee Assassin,21,12,0.57
ycmyccastep7:cheeseawakens,Sgt. Hammer,Ranged Assassin,1,1,1.0
ycmyccastep7:cheeseawakens,Sonya,Bruiser,1,0,0.0
ycmyccastep7:cheeseawakens,Stitches,Tank,7,4,0.57
ycmyccastep7:cheeseawakens,Stukov,Healer,7,2,0.29
ycmyccastep7:cheeseawakens,Sylvanas,Ranged Assassin,17,7,0.41
ycmyccastep7:cheeseawakens,Tassadar,Ranged Assassin,7,4,0.57
ycmyccastep7:cheeseawakens,The Lost Vikings,Support,1,0,0.0
ycmyccastep7:cheeseawakens,Tracer,Ranged Assassin,1,0,0.0
ycmyccastep7:cheeseawakens,Tyrael,Tank,5,1,0.2
ycmyccastep7:cheeseawakens,Tyrande,Healer,1,0,0.0
ycmyccastep7:cheeseawakens,Uther,Healer,6,3,0.5
ycmyccastep7:cheeseawakens,Valla,Ranged Assassin,14,9,0.64
ycmyccastep7:cheeseawakens,Varian,Bruiser,2,1,0.5
ycmyccastep7:cheeseawakens,Xul,Bruiser,2,1,0.5
ycmyccastep7:cheeseawakens,Yrel,Bruiser,1,0,0.0
ycmyccastep7:cheeseawakens,Zagara,Ranged Assassin,4,2,0.5
ycmyccastep7:cheeseawakens,Zarya,Support,1,0,0.0
ycmyccastep7:cheeseawakens,Zul'jin,Ranged Assassin,5,2,0.4
